329;10, 000 Maniacs;10000MANIACS;Like The Weather;07/05/1988
330;Steely Dan;STEELYDAN;Time Out Of Mind;14/03/1981
331;Fine Young Cannibals;FINEYOUNGCANNIBALS;Good Thing;06/05/1989
332;Afrika Bambaataa;AFRIKABAMBAATAA;Planet Rock;17/07/1982
333;New Order;NEWORDER;Bizarre Love Triangle;22/07/1995
334;Stevie Wonder;STEVIEWONDER;Heaven Help Us All;17/10/1970
335;Shaggy Featuring Rayvon;SHAGGY;Angel;30/12/2000
336;Bob Dylan;BOBDYLAN;Can You Please Crawl Out Your Window?;01/01/1966
337;Collective Soul;COLLECTIVESOUL;Precious Declaration;05/04/1997
338;Better Than Ezra;BETTERTHANEZRA;Rosealia;25/11/1995
339;Sean Paul;SEANPAUL;Get Busy;22/02/2003
340;Prince;PRINCE;I Wanna Be Your Lover;24/11/1979
341;Marvin Gaye;MARVINGAYE;You Sure Love To Ball;26/01/1974
342;matchbox twenty;MATCHBOXTWENTY;Mad Season;05/05/2001
343;Tone-Loc;TONELOC;Wild Thing;03/12/1988
344;Aerosmith;AEROSMITH;Angel;30/01/1988
345;Bay City Rollers;BAYCITYROLLERS;Saturday Night;11/10/1975
346;Elastica;ELASTICA;Stutter;22/07/1995
347;Billy Joel;BILLYJOEL;Big Shot;10/02/1979
348;Maroon5;MAROON5;This Love;14/02/2004
349;Michael Penn;MICHAELPENN;No Myth;30/12/1989
350;Peter Schilling;PETERSCHILLING;Major Tom (Coming Home);24/09/1983
351;Elton John;ELTONJOHN;Sacrifice;13/01/1990
352;Indigo Girls;INDIGOGIRLS;Galileo;08/08/1992
353;Norman Greenbaum;NORMANGREENBAUM;Spirit In The Sky;28/02/1970
354;Chris Isaak;CHRISISAAK;Somebody's Crying;10/06/1995
355;Van Halen;VANHALEN;Dreams;24/05/1986
356;Foreigner;FOREIGNER;Cold As Ice;23/07/1977
357;Ohio Players;OHIOPLAYERS;Fopp;21/02/1976
358;Good Charlotte;GOODCHARLOTTE;Girls And Boys;26/07/2003
359;Folk Implosion;FOLKIMPLOSION;Natural One (From Kids);09/12/1995
360;Toad The Wet Sprocket;TOADWETSPROCKET;Fall Down;04/06/1994
361;Prince And The N.P.G.;PRINCEANDNPG;Cream;28/09/1991
362;Faith Hill;FAITHHILL;The Way You Love Me;11/03/2000
363;Tone-Loc;TONELOC;Funky Cold Medina;04/03/1989
364;Van Halen;VANHALEN;You Really Got Me;28/01/1978
365;DMX;DMX;Stop Being Greedy;15/08/1998
366;Van Halen;VANHALEN;Right Now;08/02/1992
367;Lonestar;LONESTAR;What About Now;10/06/2000
368;Cheap Trick;CHEAPTRICK;Dream Police;06/10/1979
369;Divinyls;DIVINYLS;Pleasure And Pain;25/01/1986
370;Alan Jackson;ALANJACKSON;When Somebody Loves You;28/04/2001
371;Blu Cantrell;BLUCANTRELL;Hit 'Em Up Style (Oops!);05/05/2001
372;Slave;SLAVE;Watching You;17/01/1981
373;Elton John;ELTONJOHN;Someone Saved My Life Tonight;05/07/1975
374;Aerosmith;AEROSMITH;Chip Away The Stone;20/01/1979
375;Pat Benatar;PATBENATAR;Heartbreaker;22/12/1979
376;Fleetwood Mac;FLEETWOODMAC;Seven Wonders;20/06/1987
377;Fleetwood Mac;FLEETWOODMAC;Dreams;16/04/1977
378;Porno For Pyros;PORNOFORPYROS;Pets;10/07/1993
379;Jennifer Lopez;JENNIFERLOPEZ;Play;07/04/2001
380;Indigo Girls;INDIGOGIRLS;Closer To Fine;22/07/1989
381;Jethro Tull;JETHROTULL;Living In The Past;04/11/1972
382;Collective Soul;COLLECTIVESOUL;Listen;28/06/1997
383;Jethro Tull;JETHROTULL;Bungle In The Jungle;02/11/1974
384;Tom Petty & The Heartbreakers;TOMPETTYHEARTBREAKERS;I Need To Know;17/06/1978
385;Tom Petty & The Heartbreakers;TOMPETTYHEARTBREAKERS;Listen To Her Heart;23/09/1978
386;Steve Miller Band;STEVEMILLERBAND;Jet Airliner;30/04/1977
387;George Michael ;GEORGEMICHAEL;Somebody To Love;15/05/1993
388;Tom Petty;TOMPETTY;Runnin  Down A Dream;29/07/1989
389;Bob Seger;BOBSEGER;Against The Wind;03/05/1980
390;All Saints;ALLSAINTS;Never Ever;25/07/1998
391;Fleetwood Mac;FLEETWOODMAC;Landslide;18/07/1998
392;Sade;SADE;No Ordinary Love;07/11/1992
393;Bob Seger;BOBSEGER;Night Moves;11/12/1976
394;Natalie Merchant;NATALIEMERCHANT;Carnival;05/08/1995
395;Liz Phair;LIZPHAIR;Supernova;15/10/1994
396;Sixpence None The Richer;SIXPENCENONERICHER;There She Goes;11/09/1999
397;Elton John;ELTONJOHN;Honky Cat;12/08/1972
398;Seal;SEAL;Crazy;22/06/1991
399;De La Soul;DELASOUL;Me Myself And I;03/06/1989
400;Collective Soul;COLLECTIVESOUL;December;13/05/1995
401;Parliament;PARLIAMENT;Up For The Down Stroke;31/08/1974
402;Enya;ENYA;Orinoco Flow (Sail Away);21/01/1989
403;Chef Raekwon;CHEFRAEKWON;Glaciers Of Ice/Criminology;15/07/1995
404;Def Leppard;DEFLEPPARD;Armageddon It;19/11/1988
405;Wayne Newton;WAYNENEWTON;Danke Schoen;13/07/1963
406;Collective Soul;COLLECTIVESOUL;Heavy;06/03/1999
407;Fleetwood Mac;FLEETWOODMAC;Sara;15/12/1979
408;A Tribe Called Quest;ATRIBECALLEDQUEST;Scenario;06/06/1992
409;Steely Dan;STEELYDAN;Peg;19/11/1977
